name,uid,conv,shots90,goals90,pressures,tackles90,xA,chancesCreated90,headersWonRatio,keyHeaders,ballRetention,drbls,keyPasses,badges,ratingScores
Dwight McNeil,28110488,36.33,13.42,17,99.25,29.08,75.33,61.83,77.67,24.25,18.25,49.08,52.58,,{}
Franco González,2000128319,7.92,3.42,4.92,80.17,29.08,72.17,60.25,4.42,24.25,32.25,63.42,56.33,,{}
Marin Petkov,22086329,81,90.75,96.83,75.08,84.58,98.58,99.75,51.42,24.25,2.33,87.83,99.92,goalscorer;pressing forward;creator;adwanced forward,{"goalscorer":90;"pressing forward":80;"creator":99;"adwanced forward":94}
Hákon Arnar Haraldsson,39060464,36.33,47.42,31.5,88.92,66.17,97.17,91.08,68.58,87.17,34.75,32.92,95.67,creator,{"creator":94}
Muharem Huskovic,16283572,92.08,66.67,88.58,8.42,66.17,29.58,26.42,47.33,64.08,94.58,7.75,16.67,,{}
Rodrigo Riquelme,67259880,36.33,67.5,44.17,88.42,88.42,89.08,94.33,26.5,52.42,4.75,82.75,90.83,pressing forward;creator;adwanced forward,{"pressing forward":88;"creator":92;"adwanced forward":87}
Jørgen Strand Larsen,53143395,36.33,17.08,19,9.25,12.67,0.67,1.08,51.42,64.08,66.08,10.17,6.42,,{}
Endrick,2000220941,87.5,81.5,90.08,39.08,12.67,54.83,60.25,18.33,24.25,40.67,59.08,57.33,goalscorer,{"goalscorer":86}
Jizz Hogervorst,2002133981,42.08,40.75,33.67,93.17,71.25,75.33,72.5,71.25,24.25,30.08,84.58,85.33,pressing forward;creator;adwanced forward,{"pressing forward":82;"creator":74;"adwanced forward":85}
Ruud Versendaal,2002073391,87.5,38.17,58.67,33.17,60.5,24.17,26.42,45.42,52.42,75.08,38.83,44.25,,{}
Aimar Vicandi,2000119309,17.67,66.67,26.25,98.75,84.58,95.58,90.33,75.42,24.25,6.58,94.42,97.58,pressing forward;creator;adwanced forward,{"pressing forward":92;"creator":93;"adwanced forward":96}
Anderson Duarte,78102085,10.5,52.75,26.25,92.83,76.42,80.92,64,24.42,24.25,10.17,67.25,90.83,pressing forward,{"pressing forward":85}
Mathys Tel,2000104850,61.08,72.67,73.33,94.08,44.67,87,93.75,84.42,93.83,9.42,92.08,82.5,creator;adwanced forward,{"creator":90;"adwanced forward":87}
Alberto García,2002073182,5.58,19.25,8.42,83.25,39.5,89.08,84.5,45.42,24.25,11.67,95.58,82.5,creator;adwanced forward,{"creator":87;"adwanced forward":89}
Nicolò Tresoldi,2000184216,74.17,94.42,94.5,55.25,33.92,51.5,61.83,89,93.25,60.83,72.42,67.92,goalscorer,{"goalscorer":88}
Cole Palmer,28120042,36.33,90.75,77.83,94.67,91.67,94.92,94.33,98.33,83.5,11.42,72.42,98.75,pressing forward;creator;adwanced forward,{"pressing forward":93;"creator":95;"adwanced forward":86}
Bradley Barcola,49056282,77.92,97.25,96.58,33.17,22.5,24.17,26.42,86.83,91.58,66.42,36,54,goalscorer,{"goalscorer":91}
Sávio,2000011972,13.42,12.58,8.42,96.25,54.42,90.67,97.33,29,24.25,30.25,63.08,65.67,creator,{"creator":94}
Cristian Shpendi,43616541,92.08,89.75,98.08,47.17,33.92,58.75,54.83,66.92,52.42,71.17,24.83,33.58,goalscorer,{"goalscorer":93}
Carmelo Barrientos,2002119858,99,72.67,94.92,9.92,10.33,75.33,77.83,6.33,64.08,71.5,21.17,62.33,goalscorer;creator,{"goalscorer":89;"creator":77}
Álvaro Rodríguez,2000218258,66.5,36.17,49.5,38.5,22.5,14.58,18,80.42,73.83,60.25,10.17,21.67,,{}
Mario Camus,2002101885,97.75,55.67,90.08,37.5,19.58,72.17,72.5,31,24.25,50.58,48.5,46.17,creator,{"creator":72}
Noah Jean Holm,91176250,70.58,59.67,65.58,54.08,80.75,41.42,42.25,71.25,52.42,63.92,56.08,61.58,,{}
Taty Castellanos,75042244,46.67,11.83,27.75,48.5,29.08,24.17,22.17,32.75,64.08,67.08,29.67,20.75,,{}
Atlas Cihan,2002073759,99.92,98.75,99.92,20.58,93.67,58.75,52.25,91.58,88.42,49.25,22.75,31.33,goalscorer,{"goalscorer":100}
Gabriel Veron,19360962,66.5,65,65.58,58.17,39.5,68.58,61.83,34.92,24.25,16.08,94.08,70.5,adwanced forward,{"adwanced forward":82}
João Santos,2000244088,77.92,61,75.58,38.5,16.92,54.83,34.42,42.83,24.25,79.42,24.33,52.58,,{}
Fermín,2000141742,31.17,19.25,21.08,74.25,19.58,89.08,82.5,12.83,24.25,63.67,71.08,89.25,creator;adwanced forward,{"creator":86;"adwanced forward":80}
Antony,19364488,4.08,6.42,2.83,75.08,33.92,19.17,31.75,49.58,24.25,10.75,85.5,21.67,,{}
Stiven Shpendi,43616542,70.58,45.67,56.5,65.5,22.5,51.5,53.33,57.17,64.08,57.5,35.08,61.58,,{}
Eddie Nketiah,28106687,97.08,43.25,69.58,46.75,33.92,7.33,3.33,8.5,58.33,89.25,30.42,4.33,,{}
Hristo Mindev,2002123936,84.17,73.5,85.92,48.5,22.5,64,67.5,2.17,24.25,59.08,30,57.33,goalscorer,{"goalscorer":81}
Kaio Jorge,19348862,99,80.83,95.83,8.58,14.67,24.17,24.92,61.83,58.33,95.42,15.58,18.75,goalscorer,{"goalscorer":92}
Matija Frigan,2000078339,81,51.92,76.75,49.08,39.5,19.17,20.92,64.58,69.83,76.92,14.42,47.58,,{}
Jesús Hernández,51078596,92.08,77.42,91.42,33.17,33.92,41.42,37.33,77.67,24.25,43.58,20.5,34.58,goalscorer,{"goalscorer":87}
Matías Abaldo,2000111471,36.33,69.5,62,7.83,54.42,94.5,89.33,42.83,24.25,20.83,40.42,71.42,creator,{"creator":92}
Tomáš Čvančara,25057908,74.17,52.75,73.33,18.58,39.5,35.83,33.17,68.58,80.58,56.08,29.17,19.58,,{}
Erwin Vogado,2002074739,10.5,30.58,17,95.92,80.75,80.92,83.75,24.42,24.25,13.33,73.25,87.58,pressing forward;creator;adwanced forward,{"pressing forward":88;"creator":82;"adwanced forward":80}
Hugo Duro,67274349,51.17,31.67,41.75,59.17,10.33,78.17,67.5,29,77.33,71.83,28.75,70.5,,{}
Luca Koleosho,2000061312,17.67,29.58,17,96.42,88.42,90.67,83.25,34.92,58.33,34.08,80.58,88.5,pressing forward;creator;adwanced forward,{"pressing forward":92;"creator":87;"adwanced forward":85}
Adrian Haas,2000144104,31.17,18.17,17,66.25,4.42,64,77.08,40.08,24.25,46.25,75.25,51.75,,{}
Abdul Fatawu,13211267,26.83,68.25,41.75,85.25,44.67,89.08,90.33,8.5,24.25,7.75,86.17,77.67,creator;adwanced forward,{"creator":90;"adwanced forward":82}
Zeki Amdouni,84154064,97.75,20.33,58.67,31.58,25.5,24.17,37.33,57.17,24.25,83.08,7,12.75,,{}
Pablo Torre,2000040347,13.42,68.25,31.5,71.25,60.5,78.17,70,42.83,24.25,9.08,43.75,71.92,creator,{"creator":74}
Garang Kuol,2000080496,66.5,39.25,44.17,52.83,44.67,29.58,35.75,4.42,24.25,51,71.08,34.58,,{}
Sergio Camello,67272502,17.67,10.08,12.42,79,16.92,46.75,64,40.08,24.25,55.67,9.08,60.33,,{}
Predrag Kljajic,2000269855,13.42,31.67,13.92,76.58,66.17,54.83,52.25,32.75,52.42,10.17,91.17,58.83,,{}
Lorenzo Colombo,43424893,56.17,66.67,62,61.92,29.08,7.33,14.58,61.83,69.83,58.5,46.67,13.83,,{}
Furkan Baş,2002123085,42.08,97.5,94.5,38,4.42,24.17,31.75,99.5,96.33,82.83,44.5,55.83,target forward,{"target forward":93}
Ricardo Paraíso,2002075328,84.17,86.25,91.42,81.25,66.17,87,85.5,26.5,24.25,14.67,82.33,90.25,goalscorer;creator;adwanced forward,{"goalscorer":87;"creator":86;"adwanced forward":86}
Rustam Nesterenko,2002075375,94.17,28.58,75.58,41.75,6.83,46.75,81.83,8.5,24.25,67.25,43.75,53.17,,{}
Sion Parsons,2002075196,31.17,57.33,31.5,18,71.25,35.83,42.25,4.42,24.25,52.17,53,31.33,,{}
Samed Baždar,2000027057,66.5,88,80.33,60.33,19.58,46.75,53.33,79.33,83.5,51.75,61.17,40.83,,{}
Fabrice Ngoy,18116155,66.5,21.25,49.5,8.75,71.25,24.17,34.42,45.42,52.42,92.42,5.67,46.17,,{}
Arnaud Kalimuendo,49048445,84.17,87,88.17,40.5,93.67,14.58,18,42.83,52.42,86.08,48.5,41.83,goalscorer,{"goalscorer":86}
Ryan Francisco,2000263566,92.08,65.75,82.25,21,1.33,46.75,54.83,45.42,24.25,65.08,32.92,23.83,,{}
Theo Corbeanu,57189533,17.67,65,28.83,83.25,49.33,72.17,45.75,91.58,85.42,13.33,95.25,67.92,,{}
Bruno Barticciotto,75054810,94.17,26.83,60.33,60.83,93.67,46.75,39.08,57.17,24.25,43.42,87.08,39.5,,{}
Armando Broja,28121369,51.17,10.08,33.67,44.17,33.92,7.33,5.67,71.25,73.83,74.08,64.25,3.33,target forward,{"target forward":73}
Tomáš Suslov,37076659,51.17,0.42,6.75,69,25.5,41.42,31.75,42.83,58.33,57.5,43.75,37.33,,{}
Diego Bellmunt,2002124403,46.67,73.5,63.75,52.83,76.42,29.58,44.25,80.42,24.25,80.17,16.33,43.42,,{}
Badredine Bouanani,2000100062,13.42,9.42,10.83,73,60.5,46.75,58.42,21.67,58.33,18.75,84.17,63.83,,{}
Toluwalase Arokodare,47102376,56.17,74.75,73.33,3.58,39.5,41.42,12.25,87.83,80.58,19.33,8.42,13.83,,{}
Brenner,19302917,99.67,67.5,93.42,15.58,4.42,35.83,49.92,21.67,64.08,41.42,22.25,35.58,,{}
Junior Adamu,16202374,66.5,72.67,80.33,65.83,39.5,51.5,56.58,49.58,52.42,70.92,36,51.75,,{}
Dion Drena Beljo,24061498,46.67,94.75,85.92,45.83,76.42,64,70,87.83,58.33,35.58,51.83,61.58,,{}
Daniel Pitchford,2000100674,51.17,17.08,44.17,65.5,84.58,58.75,61.83,49.58,52.42,49.83,45.75,57.33,,{}
Gonzalo Tapia,75054809,31.17,9,17,67.5,49.33,64,77.83,73.58,77.33,84.67,73.58,78.17,target forward;adwanced forward,{"target forward":79;"adwanced forward":76}
David Royo,2002124665,13.42,62.17,17,98.58,54.42,96.5,93.33,26.5,24.25,3.92,99.58,94.25,creator;adwanced forward,{"creator":95;"adwanced forward":97}
Juan Macías,2000116828,70.58,17.08,31.5,47.67,33.92,19.17,26.42,18.33,24.25,38.17,73.42,23.83,,{}
Harvey Vale,2000016607,84.17,0.75,8.42,77.92,49.33,0.67,1.08,86.83,92.5,98.75,19.08,2.92,target forward,{"target forward":93}
Marcelo Ryan,19398802,51.17,78.33,84.58,13.5,76.42,41.42,56.58,75.42,24.25,52.92,45.17,39.5,,{}
Cristian Olivera,78097898,17.67,7.33,8.42,88.42,39.5,90.67,80.08,51.42,52.42,2.92,84.83,72.58,creator;adwanced forward,{"creator":85;"adwanced forward":79}
Nikola Knežević,2002101272,26.83,14.25,12.42,52.17,39.5,58.75,71.33,66.92,94.58,5.08,80.92,58.83,,{}
Fotis Ioannidis,36138739,22.58,40.75,41.75,41.33,22.5,58.75,58.42,71.25,24.25,84.92,18.42,60.33,,{}
Myron Boadu,37060951,51.17,68.25,62,28.83,29.08,10.83,13.33,61.83,69.83,73.58,31.33,10.92,,{}
Wesley,2000192473,36.33,72.67,54.33,60.83,93.67,24.17,61.83,8.5,69.83,41,90.67,76.83,adwanced forward,{"adwanced forward":84}
Supachok Sarachat,23328907,10.5,52.75,28.83,7.33,44.67,64,18,12.83,24.25,94.08,4.25,16.17,,{}
Raùl König,2000196494,0.83,36.17,0.83,75.42,12.67,35.83,33.17,31,24.25,18.58,42.5,27.92,,{}
Yuri Alberto,19326424,96,93.75,97.67,50,88.42,19.17,51.17,42.83,52.42,83.92,19.42,46.17,goalscorer,{"goalscorer":96}
Assane Diao,2000210791,42.08,90.17,67.58,89.67,71.25,89.08,95.5,91.58,64.08,11.17,97.67,80.83,pressing forward;creator;adwanced forward,{"pressing forward":80;"creator":92;"adwanced forward":89}
Jonathan Dubasin,2000050421,84.17,23,37.75,58.5,16.92,41.42,71.33,31,24.25,37.75,46.25,62.83,,{}
Antoine Semenyo,29194724,17.67,0.17,4.92,86.92,84.58,7.33,22.17,40.08,73.83,24.5,61.17,43.42,pressing forward,{"pressing forward":86}
Yanis Peyrot,2002122995,22.58,20.33,13.92,76.08,29.08,83.08,91.08,21.67,24.25,1.58,97.92,87.33,creator;adwanced forward,{"creator":87;"adwanced forward":93}
Jesús Alberto Romero,2002143835,17.67,41.58,23.92,92.5,96,96.5,91.92,21.67,24.25,1.25,98.25,93.75,pressing forward;creator;adwanced forward,{"pressing forward":94;"creator":94;"adwanced forward":96}
Esteban Gómez,2002135160,26.83,40.08,41.75,74.25,49.33,41.42,39.08,1,24.25,38.17,81.5,47.58,,{}
Antonio Foti,2000057844,22.58,29.58,23.92,65.08,10.33,93.33,97.58,37.5,24.25,69.25,63.83,83.67,creator,{"creator":95}
Ethan Nwaneri,2000283271,42.08,80.33,60.33,82.25,44.67,75.33,54.83,21.67,58.33,46.42,87.83,84.83,adwanced forward,{"adwanced forward":86}
Claudio Ávalos,2002127292,94.17,58.5,93.42,29.5,16.92,54.83,60.25,21.67,52.42,54.5,70.17,60.33,,{}
Ramiro Ruiz Rodríguez,14212884,13.42,75.58,41.75,76.58,91.67,64,67.5,82.75,69.83,65.42,69.75,76.42,pressing forward,{"pressing forward":84}
Darian Maleš,84153469,61.08,61,62,90.75,2.08,46.75,51.17,86.83,96.33,61.67,50,46.92,,{}
Georginio Rutter,49048380,74.17,57.33,87.33,26.75,66.17,46.75,68.58,75.42,52.42,63.67,61.75,33.58,,{}
Nelson Weiper,2000170587,66.5,48.67,75.58,54.42,71.25,46.75,45.75,75.42,24.25,87.42,53.58,58.83,,{}
Sorriso,2000218077,17.67,23,17,94.92,84.58,64,72.5,37.5,64.08,26.75,79.08,67.92,pressing forward,{"pressing forward":90}
Andri Lucas Guðjohnsen,67269924,61.08,44.42,58.67,13.08,0.08,7.33,19.75,89,80.58,81.58,23.75,13.83,target forward,{"target forward":84}
Juan Gauto,2000023159,13.42,0.58,1.75,89.17,33.92,51.5,39.08,21.67,24.25,17.42,91.83,43.42,,{}
Claudiu Petrila,57163398,31.17,11.83,15.08,82.25,71.25,41.42,71.33,29,24.25,16.42,91.17,54,pressing forward,{"pressing forward":77}
Jan Pantok,2002124168,61.08,97.5,91.42,21.75,4.42,41.42,65.08,71.25,77.33,71.83,13.33,48.25,target forward,{"target forward":73}
Graham Conway,2000033302,81,79.33,84.58,25.17,22.5,4,18,47.33,24.25,68.08,26.67,9.83,goalscorer,{"goalscorer":82}
Andrea Pinamonti,43252773,36.33,24.08,27.75,30.92,29.08,10.83,22.17,58.75,90.75,90.33,14.92,8.83,,{}
Benjamin Nygren,93104332,66.5,74.75,73.33,56.17,14.67,46.75,45.75,29,58.33,35.83,16.33,39.5,,{}
Benjamín Ocampo,2002136170,42.08,63.42,54.33,96.75,80.75,87,93.33,32.75,24.25,18.92,88.42,94.5,pressing forward;creator;adwanced forward,{"pressing forward":89;"creator":90;"adwanced forward":91}
Erik Botheim,53138885,36.33,25.92,23.92,44.17,25.5,14.58,19.75,82.75,69.83,25.58,30.92,5.75,,{}
Ferney Lobatón,2002122832,61.08,51.08,53.08,61.33,25.5,46.75,42.25,91.58,92.5,97.42,14,72.58,target forward,{"target forward":94}
Paxten Aaronson,2000037579,31.17,32.33,23.92,91.33,10.33,68.58,66.33,10.58,24.25,21.25,82.92,48.25,,{}
Aldrich Kabongo,2000027341,5.58,65.75,15.08,87.42,44.67,80.92,63.08,21.67,24.25,0.42,88.67,76.42,adwanced forward,{"adwanced forward":83}
Thomas Lind,2002144221,61.08,28.58,37.75,51.17,88.42,35.83,24.92,42.83,24.25,30.83,37.58,39.5,,{}
Boris Loor,2002132070,56.17,75.58,75.58,45.58,39.5,7.33,7.17,57.17,24.25,54.25,70.42,26.92,,{}
Marco Delle Monache,2000105337,26.83,27.67,21.08,90.33,49.33,72.17,78.58,12.83,52.42,21.42,87.25,75.92,creator;adwanced forward,{"creator":75;"adwanced forward":82}
Asier Sanz,2000272445,56.17,74.08,79,95.17,93.67,64,75.17,87.83,24.25,15.08,93,75.25,pressing forward;adwanced forward,{"pressing forward":94;"adwanced forward":84}
Nahuel Bustos,14134258,36.33,63.42,44.17,14.08,54.42,80.92,81.83,34.92,24.25,14.42,15.58,84.42,creator,{"creator":81}
Martín Díaz,2002143750,7.92,39.25,17,19.42,5.58,7.33,11.33,71.25,80.58,59.92,48,31.33,,{}
Konstantin Malsagov,2002142981,31.17,1.58,4.92,51.17,25.5,7.33,10.25,95.42,99.92,99.08,1.25,23.83,target forward,{"target forward":98}
Thiago Borbas,78102818,70.58,96.25,93.92,3.42,25.5,7.33,7.17,66.92,77.33,91.25,17.42,22.58,goalscorer,{"goalscorer":87}
Brian Brobbey,37065620,46.67,32.83,46.92,30.17,60.5,19.17,24.92,52.92,64.08,89.42,23.75,40.83,,{}
Daniel Williams,2002123165,84.17,63.42,79,22.75,66.17,75.33,60.25,58.75,64.08,82.83,74.42,72.58,adwanced forward,{"adwanced forward":74}
Ilias Akhomach,2000056415,2.08,18.17,2.17,63.67,33.92,68.58,77.08,37.5,24.25,8.25,92.42,75.25,adwanced forward,{"adwanced forward":84}
Mike Trésor,18101818,26.83,64.42,46.92,10.92,25.5,35.83,30.17,15.5,24.25,77.17,14.42,8,,{}
Matthis Abline,49056366,61.08,37.25,58.67,32.5,33.92,46.75,33.17,10.58,52.42,84.08,28.17,40.83,,{}
Jonathan Burkardt,91170086,26.83,19.25,17,28,14.67,4,14.58,26.5,83.5,91.75,25.25,4.33,,{}
Eraldo,2002121314,42.08,76.5,65.58,51.17,49.33,97.5,95.92,95.42,93.25,5.42,83.25,95.33,creator;adwanced forward,{"creator":97;"adwanced forward":89}
Matheus Machado,2000243754,22.58,99.92,80.33,36.83,2.08,78.17,45.75,94,94.58,53.58,41.08,48.25,,{}
Nicolò Cambiaghi,43295822,22.58,11.25,10.83,86.42,76.42,78.17,86.67,31,77.33,16.67,58.42,91.5,pressing forward;creator,{"pressing forward":81;"creator":82}
Nick Atkinson,2002154226,22.58,24.08,17,36.25,80.75,58.75,20.92,2.17,24.25,14.92,60.17,22.58,,{}
Armin Hartzell,2002074593,2.92,4.08,3.58,28.33,80.75,54.83,54.83,40.08,87.17,66.25,39.75,55,,{}
Timo Salewski,2002074099,26.83,62.17,41.75,58.5,22.5,51.5,54.83,77.67,24.25,54.5,77.08,42.67,,{}
Alessandro Riep,2000107179,61.08,44.42,39.67,75.58,49.33,94.92,90.33,3.17,24.25,6,93.75,92.17,creator;adwanced forward,{"creator":93;"adwanced forward":93}
Timur Kuz'min,2002074732,2.92,5,2.83,23.25,91.67,64,42.25,42.83,85.42,35.83,63.83,46.17,,{}
Onurhan Babuşcu,16283560,81,27.67,67.58,46.08,39.5,14.58,18,0.33,52.42,76.08,59.08,8,,{}
Tom Saettel,2000116595,13.42,8.33,3.58,76.08,96,64,60.25,21.67,24.25,49.08,70.17,67.25,pressing forward,{"pressing forward":86}
Keito Nakamura,45108807,90,5.58,26.25,89.17,44.67,29.58,44.25,73.58,64.08,63.08,69.08,32.83,,{}
Víctor Mollejo,67272501,36.33,7.33,21.08,63.67,16.92,72.17,77.83,42.83,80.58,4.25,88.67,63.83,creator,{"creator":75}
El Mehdi Bouali,2002073510,13.42,7.33,6.75,79.58,10.33,29.58,39.08,34.92,24.25,37.25,83.67,27.92,,{}
Ádám Bárdosi,2002153927,97.75,5.58,49.5,16.42,91.67,4,11.33,12.83,24.25,88.08,28.17,12.75,,{}
Paul Nebel,91188358,22.58,33.17,23.92,69,33.92,72.17,70,1,24.25,22.42,49.08,49.17,creator,{"creator":71}
Adrian Barbu,2002126889,66.5,30.17,41.75,35.17,88.42,10.83,16.17,52.92,24.25,47.92,6.42,8,,{}
Fabrizio González,2002074592,56.17,56.33,62,21.75,44.67,64,75.17,64.58,83.5,44.42,56.83,91.83,,{}
Samu Omorodion,2000211219,46.67,46.58,46.92,40.5,4.42,1.75,9.08,64.58,92.5,61.08,27.58,12.75,,{}
Marcos Leonardo,19380666,56.17,47.42,54.33,22.92,71.25,24.17,18,42.83,24.25,92.92,23.42,25.25,,{}
Nik Prelec,62203802,42.08,24.08,39.67,9.25,54.42,54.83,44.25,71.25,94.58,45.08,12.5,16.17,,{}
Ebrima Colley,43474378,66.5,48.67,63.75,99.75,60.5,64,60.25,71.25,64.08,20,89.17,72.58,adwanced forward,{"adwanced forward":81}
