name,uid,chancesCreated,openCrossesRatio,openSucessfullCrosses90,dribbles,conv,npXG,keyPasses,xA,badges,ratingScores
Aimar Sesma,2002099368,10.42,2.61,3.45,5.52,19.09,3.27,12,1.39,,{}
Nico Valli,2002075228,2,5.33,10.61,45.33,97.39,17.09,2.97,0.06,,{}
Gastón Benicelli,2002136232,68.24,32.06,86.67,95.09,55.82,41.21,82.73,81.94,,{}
Román Soto,2002128217,46.3,42.61,47.33,82.12,60.55,57.45,33.88,37.88,,{}
Higor,2002121136,43.33,70.91,58.36,64,51.52,94.3,58.36,51.7,,{}
Rafa Martín,2002074576,5.33,7.45,9.15,40.67,94,81.15,8.06,3.45,,{}
Françis Coopman,2000072965,7.94,10.79,12.61,22.48,60.55,76.3,9.33,6.36,,{}
Ryan Van Ransbeeck,2000194713,4.36,26.48,12.61,3.7,15.64,54.42,4.91,37.88,,{}
Gustavo Villarroel,2000148512,59.21,42.61,29.45,31.33,12.55,17.09,86.18,67.88,,{}
Maximiliano Valentini,2000293641,63.21,93.39,72.85,64,92.42,99.94,84.91,79.45,,{}
Cléber,2002121113,33.03,26.48,23.45,59.7,87.33,82.42,20.97,27.82,,{}
Manuel Portas,2002102104,7.94,2.61,3.45,19.33,79.15,81.15,4.61,9.7,,{}
Ivo Vieira,2002074528,56.79,32.06,59.7,64.36,75.27,41.21,31.88,32.79,,{}
Marouane Balouk,18107453,15.94,2.61,3.45,4.73,27.52,70.85,10.67,42.97,,{}
Joaquim Lecocq,2002123388,2,2.61,3.45,1.33,19.09,70.85,1.39,1.39,,{}
Jorge De Asis,2000313567,46.3,22.12,75.76,58.48,37.09,64.55,43.21,42.97,,{}
Alessandro,2002132313,56.79,8.97,16.61,44.55,82.3,72.67,43.21,37.88,,{}
Leandro,2002131909,44.79,32.06,32.67,16.85,97.39,99.15,68.55,42.97,,{}
Moses Mohammed,2002124367,55.7,7.45,7.27,25.33,89.03,64.55,55.7,56.24,,{}
Filipe Destefano,2002120919,15.94,60.18,78.36,8.61,4.61,3.27,48.97,22.79,,{}
Joaquín Storelli,2002136309,12.73,81.76,14.73,24.97,98,76.3,6.97,17.88,,{}
Juan Martín Lo Celso,2000146786,82.55,42.61,50.61,36.85,92.42,82.42,64.73,67.88,,{}
Filippo Palazzino,2000022363,65.45,12.79,62.55,64.67,51.52,14.61,39.09,37.88,,{}
Dani Gómez,2002124757,50,95.09,58.36,13.09,23.21,28.36,78.61,74.61,,{}
Nahuel Ulariaga,14243664,61.88,2.61,3.45,12,42.55,54.42,23.39,32.79,,{}
Lanre Michael,2002145275,48.12,42.61,39.94,44.97,79.15,78.24,43.21,56.24,,{}
Nicholas Bonfanti,43424680,19.39,15.27,23.45,28.42,98,99.33,12.55,22.79,,{}
Alessandro Arioli,43611619,60.42,54.55,57.45,67.27,23.21,31.39,52.55,27.82,,{}
Miguel Ferreyra,2002136310,93.15,42.61,83.82,90.3,19.09,28.36,73.64,74.61,wide playmaker,{"wide playmaker":80}
Giovanni Kamperveen,2002124549,31.45,70.91,64.67,58.48,23.21,31.39,20,42.97,,{}
Miguel Tenaglia,2000163753,55.7,90.12,99.58,81.09,4.61,41.21,94.91,51.7,,{}
Matías Ramírez,2002074622,27.88,37.33,27.33,63.7,42.55,98.55,33.88,27.82,,{}
Antonin Berger,2002072384,15.94,65.39,8.12,14.42,4.61,5.39,33.88,6.36,,{}
Dario Gewelke,2002125058,12.73,12.79,27.33,50.24,4.61,17.09,12,6.36,,{}
Cristian Recalde,2000096935,12.73,87.33,18.06,35.15,99.58,88.73,41.21,42.97,,{}
Pereira,2002120763,35.64,2.61,3.45,15.27,51.52,34.61,84.18,9.7,,{}
Santiago Rodríguez,2000051728,19.39,22.12,61.64,62.97,4.61,1.52,15.76,17.88,,{}
Djuric Bacuna,2002127146,53.82,48.73,80.91,53.39,23.21,38,73.21,64.18,,{}
Yoann Berger,2002154134,51.39,70.91,36.06,8.85,31.76,87.39,49.88,51.7,,{}
Dudé,2002119946,19.39,26.48,9.15,28.73,71.94,38,9.88,1.39,,{}
Christopher Ziegler,2002099895,79.39,32.06,55.52,67.27,84.91,57.45,60.55,88.61,,{}
Jorge Machín,2002074051,55.7,18.61,75.76,30.79,37.09,9.82,66.18,64.18,,{}
Thiago Martínez,2000252019,40.36,10.79,10.61,37.7,15.64,28.36,76.36,60.36,,{}
José,2000310923,42,32.06,57.45,94.79,42.55,51.21,77.64,42.97,,{}
Gürbüz Güngör,2002133684,33.03,15.27,58.36,45.33,42.55,5.39,35.39,22.79,,{}
Ariel Expósito,2002127645,40.36,60.18,86.67,56.67,31.76,28.36,75.64,64.18,,{}
Fernando Moreyra,14221621,19.39,95.09,27.33,10.18,4.61,9.82,12,3.45,,{}
Philippe Santiago,2002072480,15.94,90.12,30.97,35.94,42.55,12.61,15.76,6.36,,{}
Daniel Insfrán,2000294350,83.76,95.09,45.64,50.73,27.52,70.85,90.85,86.91,wide playmaker,{"wide playmaker":87}
Sergio Beltrán,2000295458,44.79,60.18,94.24,82.67,60.55,44.36,81.03,51.7,,{}
Carlos Antônio,2002119959,14.3,65.39,20.24,20.48,82.3,94.3,30.55,32.79,,{}
Frédéric Moser,2002123981,21.94,65.39,54.18,15.27,4.61,0.48,27.52,27.82,,{}
Khalidou Cissé,2002124576,30,84.55,48.97,57.64,64.97,34.61,40.42,32.79,,{}
Marcos Guayacán,2002122830,11.52,95.09,12.61,7.58,92.42,64.55,19.09,37.88,,{}
Miguel Ángel Carrillo,2002145124,18.06,98.91,23.45,22.18,68.48,3.27,45.58,9.7,,{}
Marco Lodi,2002162531,63.21,15.27,21.52,61.15,71.94,57.45,55.09,27.82,,{}
Paulo Ricardo,2002121812,81.76,54.55,80.3,99.58,12.55,44.36,75.09,71.21,wide playmaker,{"wide playmaker":76}
Àlex Pachón,2002173677,86.06,32.06,91.09,98.61,19.09,17.09,83.52,91.15,wide playmaker,{"wide playmaker":87}
Mamédio Salvadore,2002131990,21.94,22.12,10.61,36.85,4.61,12.61,18.48,13.39,,{}
Lorenzo,2000034331,27.88,84.55,16.61,19.7,23.21,57.45,10.3,27.82,,{}
Juan Ríos,2002124673,78.3,60.18,77.52,58.97,55.82,54.42,48.97,74.61,,{}
Helge Kündig,2002153669,12.73,22.12,81.45,57.94,23.21,38,57.45,17.88,,{}
William Pinho,2002120814,95.82,65.39,99.82,98.97,31.76,68.85,99.82,98.18,wide playmaker,{"wide playmaker":98}
Marian Kostka,2002144272,51.39,42.61,79.09,66.91,87.33,31.39,41.88,51.7,,{}
Franco Zapata,2002146931,98.85,60.18,96.97,87.45,51.52,41.21,95.58,93.76,wide playmaker,{"wide playmaker":96}
Ruan Oliveira,19363634,4.36,37.33,3.45,2.91,12.55,51.21,5.15,37.88,,{}
Alejandro Sarabia,2002102103,60.42,95.09,65.45,41.94,4.61,25.88,70.91,81.94,,{}
Robert,2002073338,31.45,8.97,29.45,42.97,4.61,3.27,26.73,32.79,,{}
Marcos Abraham,2002136252,19.39,81.76,36.06,7.27,4.61,7.27,25.27,13.39,,{}
Francisco Gianola,2002136473,61.88,87.33,88.85,76.67,42.55,68.85,74.48,71.21,,{}
Flávio Cruz,2002072517,51.39,87.33,62.55,52.55,4.61,14.61,39.09,56.24,,{}
Haroldo Bran,2002074557,57.94,70.91,50.61,52.18,4.61,17.09,53.7,71.21,,{}
Luis Sequeira,14223037,14.3,15.27,20.24,12.79,42.55,88.73,5.39,22.79,,{}
Diego Barbiero,2002127920,76.67,18.61,88.36,59.33,60.55,17.09,56.48,71.21,,{}
Álvaro Santos,2000274662,10.42,12.79,45.64,49.39,4.61,12.61,11.21,22.79,,{}
José Carlos,2002143052,12.73,78.67,27.33,41.94,12.55,28.36,32.61,17.88,,{}
Sebastian Lodberg,2000303067,2,2.61,3.45,1.33,10.42,61.58,1.39,6.36,,{}
Tomás Maidana,2002127458,2,97.15,9.15,4.3,4.61,0.48,4.24,0.18,,{}
Henrique,2000272202,60.42,48.73,39.94,71.09,23.21,28.36,29.64,32.79,,{}
Genaro Bracamonte,2000200414,23.76,95.09,10.61,32.18,60.55,57.45,19.09,9.7,,{}
Steven Pérard,2002123475,10.42,5.94,3.45,36.18,92.42,93.52,31.21,32.79,,{}
Patati,19407328,82.55,87.33,73.88,72.61,37.09,79.76,73.21,95.21,winger;wide playmaker,{"winger":79;"wide playmaker":84}
Sonny Perrey,2000024607,2,2.61,3.45,1.33,23.21,85.58,1.39,13.39,,{}
Samuel Pena,2002161075,48.12,90.12,27.33,7.27,99.82,20.42,8.97,22.79,,{}
Winilson Lopes,2000302501,67.21,22.12,67.27,95.58,60.55,34.61,74.48,60.36,,{}
Francesco Scalini,2002144655,20.55,18.61,23.45,6.18,4.61,1.52,13.52,9.7,,{}
Fábio Telo,2002102892,82.55,48.73,85.88,84.79,84.91,28.36,64,84.61,,{}
Gastón Lezcano,2002146678,48.12,98.36,76.48,23.27,4.61,9.82,73.64,60.36,,{}
Yannick Pasveer,2002123938,35.64,81.76,94,86.24,84.91,47.82,60,60.36,,{}
Guido Benítez,2002146890,44.79,37.33,66.3,20.48,4.61,12.61,44.97,64.18,,{}
Frankie Sanders,2002123389,2,2.61,3.45,1.33,4.61,82.42,1.39,42.97,,{}
Adam Andersen,2000150127,4.85,65.39,19.27,3.33,4.61,3.27,4,6.36,,{}
Nathan Fernandes,2000086446,99.33,78.67,98.24,95.45,94,61.58,99.58,97.21,winger;wide playmaker,{"winger":93;"wide playmaker":99}
Wencho Robertha,2002134493,52.67,42.61,48.97,45.88,15.64,51.21,33.88,27.82,,{}
Franco Mariatti,2002146726,21.94,75.64,39.94,54.85,68.48,92.42,48.97,9.7,,{}
Jelani Trevisan,2000107087,2,2.61,3.45,3.82,27.52,95.27,3.27,13.39,,{}
Gérson Costa,2002121310,28.97,97.15,14.73,4.48,4.61,5.39,28.73,13.39,,{}
Justin von der Hitz,2000180865,14.3,15.27,61.64,42.24,4.61,3.27,9.33,3.45,,{}
Diego Navarro,2002136441,33.03,99.7,66.3,10.42,27.52,34.61,51.45,32.79,,{}
Marley Cruz,2000228589,95.82,32.06,87.52,88.12,71.94,25.88,94.61,84.61,wide playmaker,{"wide playmaker":92}
Kylian Meire,2000191288,8.48,18.61,36.06,20.06,15.64,9.82,23.39,13.39,,{}
Nico Laney,2002144118,2,2.61,3.45,1.33,4.61,67.09,1.39,22.79,,{}
Kwame Mensah,2002153719,15.94,32.06,60.55,71.58,55.82,41.21,22.36,17.88,,{}
Ademar Quintanilha,2002161321,64.36,65.39,67.27,66.48,27.52,44.36,68.06,81.94,,{}
João Henrique,2002170983,72.42,81.76,47.33,10.67,96.42,68.85,75.09,64.18,,{}
Mohammad Ahmadi,2002135443,72.42,48.73,62.55,71.09,89.03,20.42,42.42,64.18,,{}
Morten Madsen,28124418,2,2.61,3.45,1.33,19.09,93.52,1.39,37.88,,{}
Ángel Rendo,2002174570,34.24,2.61,3.45,22.97,95.33,47.82,29.64,27.82,,{}
Gastón Cinquetti,2002136267,19.39,48.73,54.18,18.61,4.61,3.27,20.97,22.79,,{}
Cabir Türkmen,2002161982,48.12,99.21,49.94,58.97,31.76,47.82,59.33,71.21,,{}
Malthe Melin,2000140134,18.06,26.48,34.3,9.15,27.52,92.42,8.97,37.88,,{}
Matías Correa,2002105416,20.55,10.79,12.61,23.94,95.33,76.3,13.52,9.7,,{}
Renato,2002120790,19.39,54.55,9.15,23.27,64.97,31.39,33.88,22.79,,{}
German Bossio,2002164587,35.64,96.36,52.67,11.39,4.61,0.48,17.82,6.36,,{}
